Summary,Melange Notes,Time to Complete (Hours),Mentor IDs,Difficulty,Categories,Task Tags,Id,Multple,Additional Notes (to be put in Melange),AllLabels
Check for incorrect usage of expr.atoms() and change it to free_symbols,"Please see <a href=""http://code.google.com/p/sympy/issues/detail?id=2427"">http://code.google.com/p/sympy/issues/detail?id=2427</a> for full information on this task. <br><br>Please read <a href=""https://github.com/sympy/sympy/wiki/gci-2011-landing"">https://github.com/sympy/sympy/wiki/gci-2011-landing</a> before completing any tasks for SymPy. <br><br>",48,"asmeurer, krastanov, vperic, mrocklin",Easy,Code,"Python,     ",2427,,,"CodeInCategory-Code, CodeInDifficulty-Easy, CodeInImportedIntoSpreadsheet, EasyToFix, Priority-Medium, Type-Defect"
Clean up test_lambdify.py,"Please see <a href=""http://code.google.com/p/sympy/issues/detail?id=2493"">http://code.google.com/p/sympy/issues/detail?id=2493</a> for full information on this task. <br><br>Please read <a href=""https://github.com/sympy/sympy/wiki/gci-2011-landing"">https://github.com/sympy/sympy/wiki/gci-2011-landing</a> before completing any tasks for SymPy. <br><br>",48,"asmeurer, krastanov, vperic, mrocklin",Easy,QualityAssurance,"Python,    Testing, ",2493,,,"CodeInCategory-QA, CodeInDifficulty-Easy, EasyToFix, Priority-Medium, Testing, Type-Defect"
"Use ""with open"" instead of ""open … close""","Please see <a href=""http://code.google.com/p/sympy/issues/detail?id=2534"">http://code.google.com/p/sympy/issues/detail?id=2534</a> for full information on this task. <br><br>Please read <a href=""https://github.com/sympy/sympy/wiki/gci-2011-landing"">https://github.com/sympy/sympy/wiki/gci-2011-landing</a> before completing any tasks for SymPy. <br><br>",48,"asmeurer, krastanov, vperic, mrocklin",Easy,Code,"Python,    ",2534,,,"CodeInCategory-Code, CodeInDifficulty-Easy, EasyToFix, Priority-Medium, Type-Defect"
Remove bare except statements,"Please see <a href=""http://code.google.com/p/sympy/issues/detail?id=2570"">http://code.google.com/p/sympy/issues/detail?id=2570</a> for full information on this task. <br><br>Please read <a href=""https://github.com/sympy/sympy/wiki/gci-2011-landing"">https://github.com/sympy/sympy/wiki/gci-2011-landing</a> before completing any tasks for SymPy. <br><br>",48,"asmeurer, krastanov, vperic, mrocklin",Easy,Code,"Python,     ",2570,,,"CodeInCategory-Code, CodeInDifficulty-Easy, CodeInImportedIntoSpreadsheet, EasyToFix, Priority-Medium, Type-Defect"
Import all public functions and classes into Sphinx: polys,"Please see <a href=""http://code.google.com/p/sympy/issues/detail?id=2597"">http://code.google.com/p/sympy/issues/detail?id=2597</a> for full information on this task. <br><br>Please read <a href=""https://github.com/sympy/sympy/wiki/gci-2011-landing"">https://github.com/sympy/sympy/wiki/gci-2011-landing</a> before completing any tasks for SymPy. <br><br>Additional Note(s): This task is marked as easy because most of the public functions appear to already be imported.  So you should just check this and import any that aren't.",48,"asmeurer, krastanov, vperic, mrocklin",Easy,Documentation,"Python,      ",2597,,This task is marked as easy because most of the public functions appear to already be imported.  So you should just check this and import any that aren't.,"CodeInCategory-Documentation, CodeInDifficulty-Hard, CodeInMultiple, Documentation, Milestone-Release0.7.2, Priority-High, Type-Defect"
Update isympy manpage,"Please see <a href=""http://code.google.com/p/sympy/issues/detail?id=2599"">http://code.google.com/p/sympy/issues/detail?id=2599</a> for full information on this task. <br><br>Please read <a href=""https://github.com/sympy/sympy/wiki/gci-2011-landing"">https://github.com/sympy/sympy/wiki/gci-2011-landing</a> before completing any tasks for SymPy. <br><br>",48,"asmeurer, krastanov, vperic, mrocklin",Easy,Documentation,"Python,     ",2599,,,"CodeInCategory-Documentation, CodeInDifficulty-Easy, Documentation, Milestone-Release0.7.2, Priority-Medium, Type-Defect"
Unicode Sigma for pretty printed Sum,"Please see <a href=""http://code.google.com/p/sympy/issues/detail?id=2637"">http://code.google.com/p/sympy/issues/detail?id=2637</a> for full information on this task. <br><br>Please read <a href=""https://github.com/sympy/sympy/wiki/gci-2011-landing"">https://github.com/sympy/sympy/wiki/gci-2011-landing</a> before completing any tasks for SymPy. <br><br>",48,"asmeurer, krastanov, vperic, mrocklin",Easy,User Interface,"Python,  Concrete, Printing,  ",2637,,,"CodeInCategory-UI, CodeInDifficulty-Easy, Concrete, Printing, Priority-Medium, Type-Defect"
The Product() class should not evaluate by default,"Please see <a href=""http://code.google.com/p/sympy/issues/detail?id=2639"">http://code.google.com/p/sympy/issues/detail?id=2639</a> for full information on this task. <br><br>Please read <a href=""https://github.com/sympy/sympy/wiki/gci-2011-landing"">https://github.com/sympy/sympy/wiki/gci-2011-landing</a> before completing any tasks for SymPy. <br><br>Additional Note(s): See comments 6 and 7 in the bug report.",48,"asmeurer, krastanov, vperic, mrocklin",Easy,Code,"Python,   Concrete,  ",2639,,See comments 6 and 7 in the bug report.,"CodeInCategory-Code, CodeInDifficulty-Easy, CodeInImportedIntoSpreadsheet, Concrete, Priority-High, Type-Defect"
Refactor GA* documentation to use doctests (or move it to examples/),"Please see <a href=""http://code.google.com/p/sympy/issues/detail?id=2679"">http://code.google.com/p/sympy/issues/detail?id=2679</a> for full information on this task. <br><br>Please read <a href=""https://github.com/sympy/sympy/wiki/gci-2011-landing"">https://github.com/sympy/sympy/wiki/gci-2011-landing</a> before completing any tasks for SymPy. <br><br>",48,"asmeurer, krastanov, vperic, mrocklin",Easy,Documentation,"Python,     ",2679,,,"CodeInCategory-Documentation, CodeInDifficulty-Easy, Documentation, EasyToFix, Priority-Medium, Type-Defect"
det() is called when inverting matrix through GE,"Please see <a href=""http://code.google.com/p/sympy/issues/detail?id=2683"">http://code.google.com/p/sympy/issues/detail?id=2683</a> for full information on this task. <br><br>Please read <a href=""https://github.com/sympy/sympy/wiki/gci-2011-landing"">https://github.com/sympy/sympy/wiki/gci-2011-landing</a> before completing any tasks for SymPy. <br><br>",48,"asmeurer, krastanov, vperic, mrocklin",Easy,Code,"Python,   Matrices,  ",2683,,,"CodeInCategory-Code, CodeInDifficulty-Easy, EasyToFix, Matrices, Priority-Medium, Type-Defect"
latex(symbol_names) not working with ~x,"Please see <a href=""http://code.google.com/p/sympy/issues/detail?id=2760"">http://code.google.com/p/sympy/issues/detail?id=2760</a> for full information on this task. <br><br>Please read <a href=""https://github.com/sympy/sympy/wiki/gci-2011-landing"">https://github.com/sympy/sympy/wiki/gci-2011-landing</a> before completing any tasks for SymPy. <br><br>",48,"asmeurer, krastanov, vperic, mrocklin",Easy,Code,"Python,  Printing,  ",2760,,,"CodeInCategory-Code, CodeInDifficulty-Easy, Printing, Priority-Medium, Type-Defect"
Fix the SymPy Logo,"Please see <a href=""http://code.google.com/p/sympy/issues/detail?id=2763"">http://code.google.com/p/sympy/issues/detail?id=2763</a> for full information on this task. <br><br>Please read <a href=""https://github.com/sympy/sympy/wiki/gci-2011-landing"">https://github.com/sympy/sympy/wiki/gci-2011-landing</a> before completing any tasks for SymPy. <br><br>",48,"asmeurer, krastanov, vperic, mrocklin",Easy,Outreach,"Python,   ",2763,,,"CodeInCategory-Outreach, CodeInDifficulty-Easy, Priority-Medium, Type-Defect"
Make video tutorials for SymPy,"Please see <a href=""http://code.google.com/p/sympy/issues/detail?id=2769"">http://code.google.com/p/sympy/issues/detail?id=2769</a> for full information on this task. <br><br>Please read <a href=""https://github.com/sympy/sympy/wiki/gci-2011-landing"">https://github.com/sympy/sympy/wiki/gci-2011-landing</a> before completing any tasks for SymPy. <br><br>Additional Note(s): The task here is to make a tutorial about some aspect of SymPy.  For example, you can make an introductory tutorial, showing how to install SymPy, get it running, etc.  Or you could create a tutorial for a specific module.  Please see what tutorials, if any, have already been made, and try to make future tutorials consistant with the already existing ones.  For example, if an introductory tutorial shows how to install IPython, all other tutorials should use IPython.  Also, please do not duplicate any tutorials that have already been made (if you really feel that an already existing one can be significantly improved, please speak to us about this *before* claiming this task).",48,"asmeurer, krastanov, vperic, mrocklin",Easy,Training,"Python,    ",2769,,"The task here is to make a tutorial about some aspect of SymPy.  For example, you can make an introductory tutorial, showing how to install SymPy, get it running, etc.  Or you could create a tutorial for a specific module.  Please see what tutorials, if any, have already been made, and try to make future tutorials consistant with the already existing ones.  For example, if an introductory tutorial shows how to install IPython, all other tutorials should use IPython.  Also, please do not duplicate any tutorials that have already been made (if you really feel that an already existing one can be significantly improved, please speak to us about this *before* claiming this task).","CodeInCategory-Training, CodeInDifficulty-Easy, CodeInMultiple, Priority-Medium, Type-Enhancement"
Make video tutorials for SymPy,"Please see <a href=""http://code.google.com/p/sympy/issues/detail?id=2769"">http://code.google.com/p/sympy/issues/detail?id=2769</a> for full information on this task. <br><br>Please read <a href=""https://github.com/sympy/sympy/wiki/gci-2011-landing"">https://github.com/sympy/sympy/wiki/gci-2011-landing</a> before completing any tasks for SymPy. <br><br>Additional Note(s): The task here is to make a tutorial about some aspect of SymPy.  For example, you can make an introductory tutorial, showing how to install SymPy, get it running, etc.  Or you could create a tutorial for a specific module.  Please see what tutorials, if any, have already been made, and try to make future tutorials consistant with the already existing ones.  For example, if an introductory tutorial shows how to install IPython, all other tutorials should use IPython.  Also, please do not duplicate any tutorials that have already been made (if you really feel that an already existing one can be significantly improved, please speak to us about this *before* claiming this task).",48,"asmeurer, krastanov, vperic, mrocklin",Easy,Training,"Python,    ",2769,,"The task here is to make a tutorial about some aspect of SymPy.  For example, you can make an introductory tutorial, showing how to install SymPy, get it running, etc.  Or you could create a tutorial for a specific module.  Please see what tutorials, if any, have already been made, and try to make future tutorials consistant with the already existing ones.  For example, if an introductory tutorial shows how to install IPython, all other tutorials should use IPython.  Also, please do not duplicate any tutorials that have already been made (if you really feel that an already existing one can be significantly improved, please speak to us about this *before* claiming this task).","CodeInCategory-Training, CodeInDifficulty-Easy, CodeInMultiple, Priority-Medium, Type-Enhancement"
Make video tutorials for SymPy,"Please see <a href=""http://code.google.com/p/sympy/issues/detail?id=2769"">http://code.google.com/p/sympy/issues/detail?id=2769</a> for full information on this task. <br><br>Please read <a href=""https://github.com/sympy/sympy/wiki/gci-2011-landing"">https://github.com/sympy/sympy/wiki/gci-2011-landing</a> before completing any tasks for SymPy. <br><br>Additional Note(s): The task here is to make a tutorial about some aspect of SymPy.  For example, you can make an introductory tutorial, showing how to install SymPy, get it running, etc.  Or you could create a tutorial for a specific module.  Please see what tutorials, if any, have already been made, and try to make future tutorials consistant with the already existing ones.  For example, if an introductory tutorial shows how to install IPython, all other tutorials should use IPython.  Also, please do not duplicate any tutorials that have already been made (if you really feel that an already existing one can be significantly improved, please speak to us about this *before* claiming this task).",48,"asmeurer, krastanov, vperic, mrocklin",Easy,Training,"Python,    ",2769,,"The task here is to make a tutorial about some aspect of SymPy.  For example, you can make an introductory tutorial, showing how to install SymPy, get it running, etc.  Or you could create a tutorial for a specific module.  Please see what tutorials, if any, have already been made, and try to make future tutorials consistant with the already existing ones.  For example, if an introductory tutorial shows how to install IPython, all other tutorials should use IPython.  Also, please do not duplicate any tutorials that have already been made (if you really feel that an already existing one can be significantly improved, please speak to us about this *before* claiming this task).","CodeInCategory-Training, CodeInDifficulty-Easy, CodeInMultiple, Priority-Medium, Type-Enhancement"
Make video tutorials for SymPy,"Please see <a href=""http://code.google.com/p/sympy/issues/detail?id=2769"">http://code.google.com/p/sympy/issues/detail?id=2769</a> for full information on this task. <br><br>Please read <a href=""https://github.com/sympy/sympy/wiki/gci-2011-landing"">https://github.com/sympy/sympy/wiki/gci-2011-landing</a> before completing any tasks for SymPy. <br><br>Additional Note(s): The task here is to make a tutorial about some aspect of SymPy.  For example, you can make an introductory tutorial, showing how to install SymPy, get it running, etc.  Or you could create a tutorial for a specific module.  Please see what tutorials, if any, have already been made, and try to make future tutorials consistant with the already existing ones.  For example, if an introductory tutorial shows how to install IPython, all other tutorials should use IPython.  Also, please do not duplicate any tutorials that have already been made (if you really feel that an already existing one can be significantly improved, please speak to us about this *before* claiming this task).",48,"asmeurer, krastanov, vperic, mrocklin",Easy,Training,"Python,    ",2769,,"The task here is to make a tutorial about some aspect of SymPy.  For example, you can make an introductory tutorial, showing how to install SymPy, get it running, etc.  Or you could create a tutorial for a specific module.  Please see what tutorials, if any, have already been made, and try to make future tutorials consistant with the already existing ones.  For example, if an introductory tutorial shows how to install IPython, all other tutorials should use IPython.  Also, please do not duplicate any tutorials that have already been made (if you really feel that an already existing one can be significantly improved, please speak to us about this *before* claiming this task).","CodeInCategory-Training, CodeInDifficulty-Easy, CodeInMultiple, Priority-Medium, Type-Enhancement"
Make video tutorials for SymPy,"Please see <a href=""http://code.google.com/p/sympy/issues/detail?id=2769"">http://code.google.com/p/sympy/issues/detail?id=2769</a> for full information on this task. <br><br>Please read <a href=""https://github.com/sympy/sympy/wiki/gci-2011-landing"">https://github.com/sympy/sympy/wiki/gci-2011-landing</a> before completing any tasks for SymPy. <br><br>Additional Note(s): The task here is to make a tutorial about some aspect of SymPy.  For example, you can make an introductory tutorial, showing how to install SymPy, get it running, etc.  Or you could create a tutorial for a specific module.  Please see what tutorials, if any, have already been made, and try to make future tutorials consistant with the already existing ones.  For example, if an introductory tutorial shows how to install IPython, all other tutorials should use IPython.  Also, please do not duplicate any tutorials that have already been made (if you really feel that an already existing one can be significantly improved, please speak to us about this *before* claiming this task).",48,"asmeurer, krastanov, vperic, mrocklin",Easy,Training,"Python,    ",2769,,"The task here is to make a tutorial about some aspect of SymPy.  For example, you can make an introductory tutorial, showing how to install SymPy, get it running, etc.  Or you could create a tutorial for a specific module.  Please see what tutorials, if any, have already been made, and try to make future tutorials consistant with the already existing ones.  For example, if an introductory tutorial shows how to install IPython, all other tutorials should use IPython.  Also, please do not duplicate any tutorials that have already been made (if you really feel that an already existing one can be significantly improved, please speak to us about this *before* claiming this task).","CodeInCategory-Training, CodeInDifficulty-Easy, CodeInMultiple, Priority-Medium, Type-Enhancement"
``See Also`` feature in Number Theory,"Please see <a href=""http://code.google.com/p/sympy/issues/detail?id=2774"">http://code.google.com/p/sympy/issues/detail?id=2774</a> for full information on this task. <br><br>Please read <a href=""https://github.com/sympy/sympy/wiki/gci-2011-landing"">https://github.com/sympy/sympy/wiki/gci-2011-landing</a> before completing any tasks for SymPy. <br><br>",48,"asmeurer, krastanov, vperic, mrocklin",Easy,Documentation,"Python,   ",2774,,,"CodeInCategory-Documentation, CodeInDifficulty-Easy, Priority-Medium, Type-Enhancement"
``See Also`` feature in Combinotorics ,"Please see <a href=""http://code.google.com/p/sympy/issues/detail?id=2775"">http://code.google.com/p/sympy/issues/detail?id=2775</a> for full information on this task. <br><br>Please read <a href=""https://github.com/sympy/sympy/wiki/gci-2011-landing"">https://github.com/sympy/sympy/wiki/gci-2011-landing</a> before completing any tasks for SymPy. <br><br>",48,"asmeurer, krastanov, vperic, mrocklin",Easy,Documentation,"Python,   ",2775,,,"CodeInCategory-Documentation, CodeInDifficulty-Easy, Priority-Medium, Type-Defect"
``See Also`` feature in integrals,"Please see <a href=""http://code.google.com/p/sympy/issues/detail?id=2776"">http://code.google.com/p/sympy/issues/detail?id=2776</a> for full information on this task. <br><br>Please read <a href=""https://github.com/sympy/sympy/wiki/gci-2011-landing"">https://github.com/sympy/sympy/wiki/gci-2011-landing</a> before completing any tasks for SymPy. <br><br>",48,"asmeurer, krastanov, vperic, mrocklin",Easy,Code,"Python,   ",2776,,,"CodeInCategory-Code, CodeInDifficulty-Easy, Priority-Medium, Type-Defect"
``See Also`` feature in functions,"Please see <a href=""http://code.google.com/p/sympy/issues/detail?id=2777"">http://code.google.com/p/sympy/issues/detail?id=2777</a> for full information on this task. <br><br>Please read <a href=""https://github.com/sympy/sympy/wiki/gci-2011-landing"">https://github.com/sympy/sympy/wiki/gci-2011-landing</a> before completing any tasks for SymPy. <br><br>",48,"asmeurer, krastanov, vperic, mrocklin",Easy,Documentation,"Python,   ",2777,,,"CodeInCategory-Documentation, CodeInDifficulty-Easy, Priority-Medium, Type-Enhancement"
``See Also`` feature in functions/special,"Please see <a href=""http://code.google.com/p/sympy/issues/detail?id=2778"">http://code.google.com/p/sympy/issues/detail?id=2778</a> for full information on this task. <br><br>Please read <a href=""https://github.com/sympy/sympy/wiki/gci-2011-landing"">https://github.com/sympy/sympy/wiki/gci-2011-landing</a> before completing any tasks for SymPy. <br><br>",48,"asmeurer, krastanov, vperic, mrocklin",Easy,Documentation,"Python,   ",2778,,,"CodeInCategory-Documentation, CodeInDifficulty-Easy, Priority-Medium, Type-Enhancement"
``See Also`` feature in Matrices,"Please see <a href=""http://code.google.com/p/sympy/issues/detail?id=2780"">http://code.google.com/p/sympy/issues/detail?id=2780</a> for full information on this task. <br><br>Please read <a href=""https://github.com/sympy/sympy/wiki/gci-2011-landing"">https://github.com/sympy/sympy/wiki/gci-2011-landing</a> before completing any tasks for SymPy. <br><br>",48,"asmeurer, krastanov, vperic, mrocklin",Easy,Documentation,"Python,   ",2780,,,"CodeInCategory-Documentation, CodeInDifficulty-Easy, Priority-Medium, Type-Enhancement"
1/function() should be printed differently by latex printer,"Please see <a href=""http://code.google.com/p/sympy/issues/detail?id=2784"">http://code.google.com/p/sympy/issues/detail?id=2784</a> for full information on this task. <br><br>Please read <a href=""https://github.com/sympy/sympy/wiki/gci-2011-landing"">https://github.com/sympy/sympy/wiki/gci-2011-landing</a> before completing any tasks for SymPy. <br><br>",96,"asmeurer, krastanov, vperic, mrocklin",Medium,Code,"Python,  Printing,  ",2784,,,"CodeInCategory-Code, CodeInDifficulty-Easy, Printing, Priority-Medium, Type-Defect"
Use \functionname instead of \operatorname{functionname} whenever possible,"Please see <a href=""http://code.google.com/p/sympy/issues/detail?id=2785"">http://code.google.com/p/sympy/issues/detail?id=2785</a> for full information on this task. <br><br>Please read <a href=""https://github.com/sympy/sympy/wiki/gci-2011-landing"">https://github.com/sympy/sympy/wiki/gci-2011-landing</a> before completing any tasks for SymPy. <br><br>",48,"asmeurer, krastanov, vperic, mrocklin",Easy,Code,"Python,  Printing,  ",2785,,,"CodeInCategory-Code, CodeInDifficulty-Easy, Printing, Priority-Medium, Type-Defect"
Commented out tests should be XFAILed,"Please see <a href=""http://code.google.com/p/sympy/issues/detail?id=2788"">http://code.google.com/p/sympy/issues/detail?id=2788</a> for full information on this task. <br><br>Please read <a href=""https://github.com/sympy/sympy/wiki/gci-2011-landing"">https://github.com/sympy/sympy/wiki/gci-2011-landing</a> before completing any tasks for SymPy. <br><br>",48,"asmeurer, krastanov, vperic, mrocklin",Easy,QualityAssurance,"Python,   ",2788,,,"CodeInCategory-QA, CodeInDifficulty-Easy, Priority-Medium, Type-Defect"
Translate our webpage to German,"Please see <a href=""http://code.google.com/p/sympy/issues/detail?id=2797"">http://code.google.com/p/sympy/issues/detail?id=2797</a> for full information on this task. <br><br>Please read <a href=""https://github.com/sympy/sympy/wiki/gci-2011-landing"">https://github.com/sympy/sympy/wiki/gci-2011-landing</a> before completing any tasks for SymPy. <br><br>Additional Note(s): We only have one person available per language, so review may take a few days.  Please contact us before starting a translation task, to make sure that someone is available to verify the translation. See https://github.com/sympy/sympy/wiki/gci-2011-mentors to see who can verify this language.",48,asmeurer,Easy,Translation,"Python,    ",2797,,"We only have one person available per language, so review may take a few days.  Please contact us before starting a translation task, to make sure that someone is available to verify the translation. See https://github.com/sympy/sympy/wiki/gci-2011-mentors to see who can verify this language.","CodeInCategory-Translation, CodeInDifficulty-Easy, CodeInMultiple, Priority-Medium, Type-Defect"
Translate our webpage to French,"Please see <a href=""http://code.google.com/p/sympy/issues/detail?id=2797"">http://code.google.com/p/sympy/issues/detail?id=2797</a> for full information on this task. <br><br>Please read <a href=""https://github.com/sympy/sympy/wiki/gci-2011-landing"">https://github.com/sympy/sympy/wiki/gci-2011-landing</a> before completing any tasks for SymPy. <br><br>Additional Note(s): We only have one person available per language, so review may take a few days.  Please contact us before starting a translation task, to make sure that someone is available to verify the translation. See https://github.com/sympy/sympy/wiki/gci-2011-mentors to see who can verify this language.",48,krastanov,Easy,Translation,"Python,    ",2797,,"We only have one person available per language, so review may take a few days.  Please contact us before starting a translation task, to make sure that someone is available to verify the translation. See https://github.com/sympy/sympy/wiki/gci-2011-mentors to see who can verify this language.","CodeInCategory-Translation, CodeInDifficulty-Easy, CodeInMultiple, Priority-Medium, Type-Defect"
Translate our webpage to Czech,"Please see <a href=""http://code.google.com/p/sympy/issues/detail?id=2797"">http://code.google.com/p/sympy/issues/detail?id=2797</a> for full information on this task. <br><br>Please read <a href=""https://github.com/sympy/sympy/wiki/gci-2011-landing"">https://github.com/sympy/sympy/wiki/gci-2011-landing</a> before completing any tasks for SymPy. <br><br>Additional Note(s): We only have one person available per language, so review may take a few days.  Please contact us before starting a translation task, to make sure that someone is available to verify the translation. See https://github.com/sympy/sympy/wiki/gci-2011-mentors to see who can verify this language.",48,vperic,Easy,Translation,"Python,    ",2797,,"We only have one person available per language, so review may take a few days.  Please contact us before starting a translation task, to make sure that someone is available to verify the translation. See https://github.com/sympy/sympy/wiki/gci-2011-mentors to see who can verify this language.","CodeInCategory-Translation, CodeInDifficulty-Easy, CodeInMultiple, Priority-Medium, Type-Defect"
Translate our webpage to Polish,"Please see <a href=""http://code.google.com/p/sympy/issues/detail?id=2797"">http://code.google.com/p/sympy/issues/detail?id=2797</a> for full information on this task. <br><br>Please read <a href=""https://github.com/sympy/sympy/wiki/gci-2011-landing"">https://github.com/sympy/sympy/wiki/gci-2011-landing</a> before completing any tasks for SymPy. <br><br>Additional Note(s): We only have one person available per language, so review may take a few days.  Please contact us before starting a translation task, to make sure that someone is available to verify the translation. See https://github.com/sympy/sympy/wiki/gci-2011-mentors to see who can verify this language.",48,asmeurer,Easy,Translation,"Python,    ",2797,,"We only have one person available per language, so review may take a few days.  Please contact us before starting a translation task, to make sure that someone is available to verify the translation. See https://github.com/sympy/sympy/wiki/gci-2011-mentors to see who can verify this language.","CodeInCategory-Translation, CodeInDifficulty-Easy, CodeInMultiple, Priority-Medium, Type-Defect"
